tau_1,tau_2,patch_acc_multi,patch_f1_macro,patch_pre_macro,patch_rec_macro,patch_f1_weighted,patch_pre_weighted,patch_rec_weighted,patch_f1_micro,patch_acc_bin,patch_f1_bin,patch_pre_bin,patch_rec_bin
0.0,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.01,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.01,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.02,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.02,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.02,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.03,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.03,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.03,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.03,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.04,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.04,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.04,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.04,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.04,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.05,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.05,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.05,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
0.05,0.03,0.9508,0.7951,0.7546,0.8484,0.9535,0.958,0.9508,0.9508,0.9621,0.8529,0.7945,0.9206
0.05,0.04,0.9564,0.8071,0.7849,0.8367,0.9578,0.9601,0.9564,0.9564,0.9678,0.8702,0.8382,0.9048
0.05,0.05,0.9621,0.8235,0.8277,0.8376,0.963,0.9664,0.9621,0.9621,0.9735,0.8906,0.8769,0.9048
0.06,0.0,0.9678,0.8509,0.8961,0.8201,0.9665,0.9676,0.9678,0.9678,0.9754,0.8908,0.9464,0.8413
0.06,0.01,0.8788,0.6803,0.6142,0.8367,0.9002,0.9384,0.8788,0.8788,0.8902,0.6667,0.5225,0.9206
0.06,0.02,0.9299,0.7504,0.6913,0.845,0.937,0.9495,0.9299,0.9299,0.9413,0.7891,0.6905,0.9206
